# NIGHTCRAWLER — Katalog fuer die Shell-Werkzeuge (installer.sh, motd.sh)
#
# Format: DEUTSCHER TEXT <TAB> ENGLISCHER TEXT
# Der deutsche Text ist der SCHLUESSEL — genau wie in locales/en.json fuer den
# Bot. Fehlt eine Zeile, bleibt Deutsch stehen; ein fehlender Eintrag ist also
# nie ein Fehler, nur eine Luecke. Neue Zeilen einfach anhaengen.
#
# Pruefen:  python3 tools/i18n_tools.py --check en
.env aus der Vorlage angelegt (alle Vorgaben aktiv, nichts gesetzt).	.env created from the template (all defaults active, nothing set).
.env, Datenbanken, Aufnahmen und Logs werden dabei NIE angefasst — sie gehoeren dir, nicht dem Build.	.env, databases, recordings and logs are NEVER touched — they belong to you, not to the build.
Alle Einstellungen leben in einer einzigen Datei: .env. Sie enthaelt Bot-Token, Stream-Keys und Cookies — deshalb bekommt sie Rechte 600 (nur du darfst lesen) und gehoert NIE in ein Archiv oder ein Repository.	Every setting lives in a single file: .env. It holds bot tokens, stream keys and cookies — which is why it gets mode 600 (only you may read it) and NEVER belongs in an archive or a repository.
Alles Weitere lebt in einer virtuellen Umgebung unter .venv/ — ein eigener Ordner mit eigenem Python und eigenen Bibliotheken. Damit kann keine Installation hier das System-Python beschaedigen und umgekehrt.	Everything else lives in a virtual environment under .venv/ — its own folder with its own Python and its own libraries. That way no install here can damage the system Python, or the other way round.
Alles hier ist Zubehoer. Der Bot laeuft ohne jedes davon; er kann mit ihnen mehr. Was du jetzt auslaesst, laesst sich spaeter jederzeit nachruesten.	Everything here is optional. The bot runs without any of it; it can do more with it. Whatever you skip now can be added later at any time.
Auf allen anderen Maschinen bleibt es bei den keylosen Backends. Ein Schluessel von enter.pollinations.ai (POLLINATIONS_API_KEY) macht sie spuerbar zuverlaessiger — eintragen laesst er sich jederzeit in der .env.	On every other machine the keyless backends remain. A key from enter.pollinations.ai (POLLINATIONS_API_KEY) makes them noticeably more reliable — you can add it to .env at any time.
Bestehende Installation gefunden.	Existing installation found.
Bestehende Werte bleiben; nur was du jetzt beantwortest, wird ueberschrieben.	Existing values are kept; only what you answer now gets overwritten.
Bitte selbst bereitstellen: ffmpeg streamlink yt-dlp git curl sqlite3	Please provide these yourself: ffmpeg streamlink yt-dlp git curl sqlite3
CrowdSec ist die Abwehr: es liest Logs mit, erkennt Angriffsmuster und sperrt IPs. Das Dashboard zeigt Sperren und Angriffswellen an; der sentinel-Agent meldet Spitzen. Sinnvoll, sobald die Maschine aus dem Netz erreichbar ist.	CrowdSec is the defence layer: it reads along in the logs, recognises attack patterns and blocks IPs. The dashboard shows bans and attack waves; the sentinel agent reports spikes. Worth having as soon as the machine is reachable from the network.
CrowdSec: installiert — Feinheiten in docs/CROWDSEC.md	CrowdSec: installed — details in docs/en/CROWDSEC.md
Datenbank liess sich nicht anlegen — bleibe bei SQLite.	Could not create the database — staying with SQLite.
Der Bot laeuft trotzdem — du musst ffmpeg, streamlink und yt-dlp dann selbst installieren. Schritt 5 wird uebersprungen.	The bot still runs — you will have to install ffmpeg, streamlink and yt-dlp yourself. Step 5 is skipped.
Der Port wird oeffentlich. Token ist damit Pflicht (kommt gleich).	The port becomes public. A token is therefore mandatory (coming up next).
Die Eingaben waren nicht gleich — noch einmal.	The entries did not match — once more.
Discord konfiguriert.	Discord configured.
Ersatzpruefung: Modul-Import	Fallback check: module import
Es ist bereits ein BOT_TOKEN eingetragen.	A BOT_TOKEN is already configured.
Homebrew fehlt. Es ist auf macOS der einzige vernuenftige Weg zu ffmpeg.	Homebrew is missing. On macOS it is the only sensible route to ffmpeg.
Installation direkt im vorhandenen Verzeichnis — nichts zu kopieren.	Installing directly in the existing directory — nothing to copy.
Kein MariaDB-Client gefunden — bleibe bei SQLite.	No MariaDB client found — staying with SQLite.
Kein Quelltext neben dem Skript — er wird von GitHub geholt.	No source next to the script — fetching it from GitHub.
Kein passendes Release gefunden — Handanleitung: docs/SETUP_LLAMACPP.md	No matching release found — manual instructions: docs/en/SETUP_LLAMACPP.md
Lade das Modell (Qwen2.5-1.5B-Instruct, Q4_K_M, ca. 1 GB) …	Downloading the model (Qwen2.5-1.5B-Instruct, Q4_K_M, approx. 1 GB) …
Leistungsprofil: sparsam (RESTREAM_SINGLE=1, Bitrate 3500)	Performance profile: frugal (RESTREAM_SINGLE=1, bitrate 3500)
Lokales LLM ausgelassen (nur fuer x86_64-Linux mit >= 3 GB RAM vorbereitet).	Local LLM skipped (only prepared for x86_64 Linux with >= 3 GB RAM).
MOTD: aktiv (Vorschau: tools/motd.sh · Erkennung pruefen: tools/motd.sh --doctor)	MOTD: active (preview: tools/motd.sh · check detection: tools/motd.sh --doctor)
MariaDB eingerichtet (Datenbank und Nutzer 'nightcrawler').	MariaDB set up (database and user 'nightcrawler').
MariaDB: Nutzer nightcrawler, Passwort in .env (MARIADB_PASSWORD)	MariaDB: user nightcrawler, password in .env (MARIADB_PASSWORD)
Mindestens ein Paket liess sich nicht installieren.	At least one package could not be installed.
NIGHTCRAWLER ist eingerichtet.	NIGHTCRAWLER is set up.
Notieren oder im Passwortmanager ablegen. Es steht ausserdem in der .env (chmod 600) und laesst sich dort jederzeit nachlesen.	Write it down or store it in a password manager. It is also in .env (chmod 600) and can be read there at any time.
Paketmanager nicht erkannt (weder apt noch brew).	Package manager not recognised (neither apt nor brew).
Python-Pakete stehen.	Python packages are in place.
Quelltext geholt.	Source fetched.
Sparsames Profil gesetzt (jederzeit in der .env aenderbar).	Frugal profile applied (changeable in .env at any time).
Suche das aktuelle Release-Paket …	Looking for the current release package …
Systempakete installiert.	System packages installed.
Totmann-Meldung verdrahtet.	Dead-man alert wired up.
Uebersprungen (--skip-system oder kein Paketmanager).	Skipped (--skip-system or no package manager).
Uebersprungen. Ohne ffmpeg gibt es weder Aufnahme noch Restream.	Skipped. Without ffmpeg there is neither recording nor restreaming.
Umgebung angelegt.	Environment created.
Weder root noch sudo — Systempakete koennen nicht installiert werden.	Neither root nor sudo — system packages cannot be installed.
brew install ffmpeg streamlink yt-dlp git sqlite	brew install ffmpeg streamlink yt-dlp git sqlite
llama.cpp laeuft auf 127.0.0.1:8080.	llama.cpp is running on 127.0.0.1:8080.
pip install laeuft — das dauert je nach Verbindung 1 bis 15 Minuten.	pip install is running — depending on your connection this takes 1 to 15 minutes.
venv liess sich nicht anlegen.	Could not create the venv.
Auf MariaDB umstellen?	Switch to MariaDB?
Auf den neuesten Stand bringen (git pull)?	Bring it up to date (git pull)?
CrowdSec installieren?	Install CrowdSec?
Dashboard im Netz erreichbar machen (0.0.0.0)?	Make the dashboard reachable on the network (0.0.0.0)?
Dienst aktivieren und starten?	Enable and start the service?
Diese Pakete jetzt installieren?	Install these packages now?
Diese Pakete jetzt per Homebrew installieren?	Install these packages via Homebrew now?
Discord jetzt einrichten?	Set up Discord now?
Ersetzen?	Replace?
Homebrew jetzt installieren?	Install Homebrew now?
Loslegen?	Get started?
MariaDB-Server lokal installieren?	Install a MariaDB server locally?
PIN-Login einrichten?	Set up PIN login?
Sparsames Profil setzen?	Apply the frugal profile?
Status-MOTD beim Login einrichten?	Set up the status MOTD on login?
Totmann-Meldung einrichten?	Set up the dead-man alert?
deadsnakes-PPA hinzufuegen und python3.12 installieren?	Add the deadsnakes PPA and install python3.12?
launchd-Eintrag anlegen?	Create a launchd entry?
